estate name,detail link,photo links
Merrylands,https://www.28hse.com/en/estate/detail/merrylands-2393,https://i1.28hse.com/2022/09/202209081223482467464_large.jpg
Tai Pak Mansion,https://www.28hse.com/en/estate/detail/tai-pak-mansion-8058,https://i1.28hse.com/2022/09/202209081301024655860_large.jpg
Lower Wong Tai Sin (I) Estate ,https://www.28hse.com/en/estate/detail/lower-wong-tai-sin-i-estate-26210,https://i1.28hse.com/2022/09/202209081222485169798_large.jpg
Hiap Teck Mansion,https://www.28hse.com/en/estate/detail/hiap-teck-mansion-22519,https://i1.28hse.com/2022/09/202209081216498463055_large.jpg
Wah Yan Court,https://www.28hse.com/en/estate/detail/wah-yan-court-22513,https://i1.28hse.com/2022/09/202209081216475211695_large.jpg
On Tat Estate ,https://www.28hse.com/en/estate/detail/on-tat-estate-26225,https://i1.28hse.com/2022/09/202209081222568830428_large.jpg
Nan Tin Mansion,https://www.28hse.com/en/estate/detail/nan-tin-mansion-4331,https://i1.28hse.com/2022/09/202209081238456220467_large.jpg
Po Wing Building,https://www.28hse.com/en/estate/detail/po-wing-building-8229,https://i1.28hse.com/2022/09/202209081302147230906_large.jpg
Jade Plaza,https://www.28hse.com/en/estate/detail/jade-plaza-4634,https://i1.28hse.com/2022/09/202209081240414738381_large.jpg
Shui Ying Building,https://www.28hse.com/en/estate/detail/shui-ying-building-26083,https://i1.28hse.com/2022/09/202209081221301091343_large.jpg
Cheong Shing Court,https://www.28hse.com/en/estate/detail/cheong-shing-court-4181,https://i1.28hse.com/2022/09/202209081237408282166_large.jpg
Victoria Height,https://www.28hse.com/en/estate/detail/victoria-height-26423,https://i1.28hse.com/2022/09/202209081224323183933_large.jpg
Oi Kwan Court,https://www.28hse.com/en/estate/detail/oi-kwan-court-880,https://i1.28hse.com/2022/09/202209081306246698967_large.jpg
17-19 Prince's Terrace,https://www.28hse.com/en/estate/detail/17-19-prince-s-terrace-26606,https://i1.28hse.com/2022/09/202209081226075616550_large.jpg
Tin Wah House,https://www.28hse.com/en/estate/detail/tin-wah-house-26130,https://i1.28hse.com/2022/09/20220908122202587290_large.jpg
Gordon Rd 36,https://www.28hse.com/en/estate/detail/gordon-rd-36-24200,https://i1.28hse.com/2022/09/202209081234028279642_large.jpg
Hampton Place,https://www.28hse.com/en/estate/detail/hampton-place-2563,https://i1.28hse.com/2022/09/202209081232185354159_large.jpg
Tai Hong Building,https://www.28hse.com/en/estate/detail/tai-hong-building-6088,https://i1.28hse.com/2022/09/202209081248438915710_large.jpg
Medallion Heights,https://www.28hse.com/en/estate/detail/medallion-heights-443,https://i1.28hse.com/2022/09/202209081239252044938_large.jpg
Honor Villa,https://www.28hse.com/en/estate/detail/honor-villa-431,https://i1.28hse.com/2022/09/202209081238365329492_large.jpg
Kiu Fung Mansion,https://www.28hse.com/en/estate/detail/kiu-fung-mansion-2973,https://i1.28hse.com/2022/09/20220908123425580010_large.jpg
H.I.C.B Building,https://www.28hse.com/en/estate/detail/h-i-c-b-building-6473,https://i1.28hse.com/2022/09/202209081251237336454_large.jpg
Wiseman Building,https://www.28hse.com/en/estate/detail/wiseman-building-5400,https://i1.28hse.com/2022/09/202209081244003779256_large.jpg
Broadwood Twelve,https://www.28hse.com/en/estate/detail/broadwood-twelve-5483,https://i1.28hse.com/2022/09/202209081244326304845_large.jpg
8 Tai On Terrace,https://www.28hse.com/en/estate/detail/8-tai-on-terrace-23867,https://i1.28hse.com/2022/09/202209081228352237569_large.jpg
Kwong Fai Buildihng,https://www.28hse.com/en/estate/detail/kwong-fai-buildihng-8523,https://i1.28hse.com/2022/09/202209081304238396982_large.jpg
Le Bleu,https://www.28hse.com/en/estate/detail/le-bleu-4718,https://i1.28hse.com/2022/09/202209081241112716447_large.jpg
Hang King Garden,https://www.28hse.com/en/estate/detail/hang-king-garden-4693,https://i1.28hse.com/2022/09/202209081241037458091_large.jpg
Fook Chi Building,https://www.28hse.com/en/estate/detail/fook-chi-building-6766,https://i1.28hse.com/2022/09/202209081253301617023_large.jpg
Florence Plaza,https://www.28hse.com/en/estate/detail/florence-plaza-2456,https://i1.28hse.com/2022/09/202209081227455699410_large.jpg
Kiu Ming Mansion,https://www.28hse.com/en/estate/detail/kiu-ming-mansion-2729,https://i1.28hse.com/2022/09/20220908123314452277_large.jpg
Lung Wai building,https://www.28hse.com/en/estate/detail/lung-wai-building-27013,https://i1.28hse.com/2022/09/202209081231074204154_large.jpg
NAPA,https://www.28hse.com/en/estate/detail/napa-8945,https://i1.28hse.com/2022/09/202209081307288633968_large.jpg
NAPA,https://www.28hse.com/en/estate/detail/napa-8945,https://i1.28hse.com/2022/09/202209081307293402884_large.jpg
Kar Fu Building,https://www.28hse.com/en/estate/detail/kar-fu-building-1148,https://i1.28hse.com/2022/09/202209081212545703701_large.jpg
Lai Tong Building,https://www.28hse.com/en/estate/detail/lai-tong-building-2744,https://i1.28hse.com/2022/09/202209081233202323449_large.jpg
Royal Building,https://www.28hse.com/en/estate/detail/royal-building-26081,https://i1.28hse.com/2022/09/2022090812212873272_large.jpg
Woodland Crest,https://www.28hse.com/en/estate/detail/woodland-crest-4211,https://i1.28hse.com/2022/09/202209081237548877149_large.jpg
Greenville Residence,https://www.28hse.com/en/estate/detail/greenville-residence-6158,https://i1.28hse.com/2022/09/202209081249154049968_large.jpg
The Mount Austin,https://www.28hse.com/en/estate/detail/the-mount-austin-25639,https://i1.28hse.com/2022/09/202209081305387671393_large.jpg
Le Cap,https://www.28hse.com/en/estate/detail/le-cap-22410,https://i1.28hse.com/2022/09/202209081216164323113_large.jpg
1 Soares Avenue,https://www.28hse.com/en/estate/detail/1-soares-avenue-26697,https://i1.28hse.com/2022/09/202209081226464215044_large.jpg
Fook Ping Mansion,https://www.28hse.com/en/estate/detail/fook-ping-mansion-22299,https://i1.28hse.com/2022/09/202209081215421204369_large.jpg
19 Soares Avenue,https://www.28hse.com/en/estate/detail/19-soares-avenue-26842,https://i1.28hse.com/2022/09/202209081230021606954_large.jpg
Kam Ping Mansion,https://www.28hse.com/en/estate/detail/kam-ping-mansion-24853,https://i1.28hse.com/2022/09/202209081253454231609_large.jpg
Kwai Shing West Estate,https://www.28hse.com/en/estate/detail/kwai-shing-west-estate-25359,https://i1.28hse.com/2022/09/202209081256442043003_large.jpg
Ming Yuet Building,https://www.28hse.com/en/estate/detail/ming-yuet-building-5315,https://i1.28hse.com/2022/09/202209081243247980728_large.jpg
12A South Bay Road,https://www.28hse.com/en/estate/detail/12a-south-bay-road-26631,https://i1.28hse.com/2022/09/20220908122617678256_large.jpg
