Name,Estate,Photo
New Jade Garden,https://www.28hse.com/en/estate/hk/chai-wan/1251_new-jade-garden,https://i1.28hse.com/2022/09/202209081213261629414_large.jpg
Koway Court,https://www.28hse.com/en/estate/hk/chai-wan/1261_koway-court,https://i1.28hse.com/2022/09/202209081213308767325_large.jpg
Wing Cheung Building,https://www.28hse.com/en/estate/hk/sai-ying-pun/692_wing-cheung-building,https://i1.28hse.com/2022/09/202209081254205349816_large.jpg
Yick Fat Building,https://www.28hse.com/en/estate/hk/quarry-bay/5150_yick-fat-building,https://i1.28hse.com/2022/09/202209081242255741700_large.jpg
Tung Chun Court,https://www.28hse.com/en/estate/hk/shaukeiwan/1180_tung-chun-court,https://i1.28hse.com/2022/09/202209081213043228994_large.jpg
Hoi Lee Building,https://www.28hse.com/en/estate/hk/sai-wan-ho/1228_hoi-lee-building,https://i1.28hse.com/2022/09/202209081217011778726_large.jpg
Kiu Kwan Mansion,https://www.28hse.com/en/estate/hk/north-point/1105_kiu-kwan-mansion,
Tai On Building,https://www.28hse.com/en/estate/hk/sai-wan-ho/5431_tai-on-building,https://i1.28hse.com/2022/09/202209081244154695845_large.jpg
Ming Yuet Building,https://www.28hse.com/en/estate/hk/north-point/5315_ming-yuet-building,https://i1.28hse.com/2022/09/202209081243247980728_large.jpg
FullView Garden,https://www.28hse.com/en/estate/hk/chai-wan/1252_fullview-garden,https://i1.28hse.com/2022/09/202209081213274959896_large.jpg
Lung Yan Court,https://www.28hse.com/en/estate/hk/stanley/223_lung-yan-court,https://i1.28hse.com/2022/09/202209081215427142653_large.jpg
Marina Habitat,https://www.28hse.com/en/estate/hk/ap-lei-chau/292_marina-habitat,https://i1.28hse.com/2022/09/202209081234072975116_large.jpg
Lok Hin Terrace,https://www.28hse.com/en/estate/hk/chai-wan/1257_lok-hin-terrace,https://i1.28hse.com/2022/09/202209081213291932774_large.jpg
60 Victoria Road,https://www.28hse.com/en/estate/hk/kennedy-town/545_60-victoria-road,
Cheong Yue Mansion,https://www.28hse.com/en/estate/hk/kennedy-town/5539_cheong-yue-mansion,https://i1.28hse.com/2022/09/202209081244546640797_large.jpg
Ka Fu Building,https://www.28hse.com/en/estate/hk/kennedy-town/613_ka-fu-building,https://i1.28hse.com/2022/09/202209081249022866418_large.jpg
Hoi Fung Centre,https://www.28hse.com/en/estate/hk/shaukeiwan/1193_hoi-fung-centre,https://i1.28hse.com/2022/09/202209081213085310343_large.jpg
ISLAND RESIDENCE,https://www.28hse.com/en/estate/hk/sai-wan-ho/8656_island-residence,https://i1.28hse.com/2022/09/202209081305218803517_large.jpg
Tung Hei Court,https://www.28hse.com/en/estate/hk/sai-wan-ho/1178_tung-hei-court,https://i1.28hse.com/2022/09/202209081213031553327_large.jpg
One Pacific Heights,https://www.28hse.com/en/estate/hk/sheung-wan/5441_one-pacific-heights,https://i1.28hse.com/2022/09/202209081244196522493_large.jpg
Fortune Building,https://www.28hse.com/en/estate/hk/happy-valley/5819_fortune-building,https://i1.28hse.com/2022/09/202209081248454688047_large.jpg
Dawning Height,https://www.28hse.com/en/estate/hk/sheung-wan/716_dawning-height,https://i1.28hse.com/2022/09/202209081255103150062_large.jpg
Imperial Terrace,https://www.28hse.com/en/estate/hk/sai-ying-pun/637_imperial-terrace,https://i1.28hse.com/2022/09/202209081250398064520_large.jpg
Scala Mansion,https://www.28hse.com/en/estate/hk/north-point/7228_scala-mansion,https://i1.28hse.com/2022/09/202209081255216561427_large.jpg
Floral Tower,https://www.28hse.com/en/estate/hk/western-mid-levels/419_floral-tower,https://i1.28hse.com/2022/09/202209081237437302206_large.jpg
Spring Garden Mansion,https://www.28hse.com/en/estate/hk/wan-chai/22292_spring-garden-mansion,https://i1.28hse.com/2022/09/202209081215408519276_large.jpg
Luen Gay Apartments,https://www.28hse.com/en/estate/hk/kennedy-town/674_luen-gay-apartments,https://i1.28hse.com/2022/09/202209081253173919726_large.jpg
Hollywood Terrace,https://www.28hse.com/en/estate/hk/sheung-wan/700_hollywood-terrace,
Parker33,https://www.28hse.com/en/estate/hk/sai-wan-ho/8628_parker33,https://i1.28hse.com/2022/09/202209081305097151963_large.jpg
The Avenue,https://www.28hse.com/en/estate/hk/wan-chai/7958_the-avenue,https://i1.28hse.com/2022/09/202209081300202325711_large.jpg
Australia House,https://www.28hse.com/en/estate/hk/wan-chai/8763_australia-house,https://i1.28hse.com/2022/09/202209081306094334022_large.jpg
Tong Nam Mansion,https://www.28hse.com/en/estate/hk/sai-ying-pun/7526_tong-nam-mansion,https://i1.28hse.com/2022/09/20220908125717185417_large.jpg
Ka Fu Building,https://www.28hse.com/en/estate/hk/sheung-wan/733_ka-fu-building,https://i1.28hse.com/2022/09/202209081249022866418_large.jpg
King Ming Mansion,https://www.28hse.com/en/estate/hk/sai-ying-pun/609_king-ming-mansion,https://i1.28hse.com/2022/09/202209081248446969754_large.jpg
Newman House,https://www.28hse.com/en/estate/hk/wan-chai/8555_newman-house,https://i1.28hse.com/2022/09/202209081304387662086_large.jpg
Sun Sing Centre,https://www.28hse.com/en/estate/hk/shaukeiwan/1177_sun-sing-centre,https://i1.28hse.com/2022/09/202209081213032658752_large.jpg
Richsun Garden,https://www.28hse.com/en/estate/hk/sai-ying-pun/741_richsun-garden,https://i1.28hse.com/2022/09/2022090812562775153_large.jpg
Wai Sun Building,https://www.28hse.com/en/estate/hk/wan-chai/6685_wai-sun-building,https://i1.28hse.com/2022/09/20220908125259660669_large.jpg
Casa Bella,https://www.28hse.com/en/estate/hk/western-mid-levels/7432_casa-bella,https://i1.28hse.com/2022/09/202209081256378488642_large.jpg
Richview Villa,https://www.28hse.com/en/estate/hk/happy-valley/7560_richview-villa,
King Cheung Mansion,https://www.28hse.com/en/estate/hk/happy-valley/8913_king-cheung-mansion,https://i1.28hse.com/2022/09/202209081307142092989_large.jpg
Pioneer Court,https://www.28hse.com/en/estate/hk/happy-valley/951_pioneer-court,https://i1.28hse.com/2022/09/202209081308018852947_large.jpg
Vantage Park,https://www.28hse.com/en/estate/hk/western-mid-levels/387_vantage-park,https://i1.28hse.com/2022/09/202209081235568421948_large.jpg
Novum West,https://www.28hse.com/en/estate/hk/sai-ying-pun/22273_novum-west,https://i1.28hse.com/2022/09/202209081215323566293_large.jpg
BayView Park,https://www.28hse.com/en/estate/hk/chai-wan/1262_bayview-park,https://i1.28hse.com/2022/09/202209081213313622122_large.jpg
Ko Nga Court,https://www.28hse.com/en/estate/hk/sai-ying-pun/722_ko-nga-court,https://i1.28hse.com/2022/09/202209081255172942127_large.jpg
Kings Tower,https://www.28hse.com/en/estate/hk/north-point/6824_kings-tower,
Fok Sing Building,https://www.28hse.com/en/estate/hk/shaukeiwan/5989_fok-sing-building,https://i1.28hse.com/2022/09/202209081248067666105_large.jpg
