Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,CNAME,CNAME_S,ENAME,REGION
14/9/2021,Kennedy Town,Ying Ga Garden,7.5,BLOCK 1 7/F Room C,7,BLOCK 1,C,496,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Aberdeen,Aberdeen Centre,7.05,BLOCK F 1#/F Room 4,1,BLOCK F,4,572,南區,南区,SOUTHERN,HK
14/9/2021,Heng Fa Chuen,Heng Fa Chuen,9.86,BLOCK 23 1#/F Room 5,1,BLOCK 23,5,716,東區,东区,EASTERN,HK
14/9/2021,Western mid-levels,Wilton Place,13.5,1#/F Room A,1,,A,778,中西區,中西区,CENTRAL & WESTERN,HK
14/9/2021,Sai Wan Ho,Grand Promenade,10.98,TOWER 6 4#/F Room H,4,TOWER 6,H,689,東區,东区,EASTERN,HK
14/9/2021,South Horizons,South Horizons,9.3,TOWER 33A 2#/F Room A,2,TOWER 33A,A,666,南區,南区,SOUTHERN,HK
14/9/2021,North Point,Harbour Heights,10,NAM FUNG COURT 9/F Room F,9,NAM FUNG COURT,F,730,東區,东区,EASTERN,HK
14/9/2021,Tin Hau,DIVA,17,3#/F Room A,3,,A,717,東區,东区,EASTERN,HK
14/9/2021,Taikoo Shing,TaiKoo Shing,10.5,KAM SING 1#/F Room D,1,KAM SING,D,675,東區,东区,EASTERN,HK
14/9/2021,Southern District,Residence Bel-Air,63.5,SOUTH TOWER 8 8/F Room B,8,SOUTH TOWER 8,B,2180,南區,南区,SOUTHERN,HK
14/9/2021,Shaukeiwan,Newton Harbour View,9.95,TOWER 2 1#/F Room G,1,TOWER 2,G,850,東區,东区,EASTERN,HK
14/9/2021,Sheung Wan,Po Hing Mansion,5.96,4/F Room C,4,,C,423,中西區,中西区,CENTRAL & WESTERN,HK
13/9/2021,Sai Ying Pun,Rockson Mansion,9.9,1#/F Room B,1,,B,788,中西區,中西区,CENTRAL & WESTERN,HK
13/9/2021,Sai Ying Pun,Novum West,9.8,TOWER 2 3#/F Room B,3,TOWER 2,B,331,中西區,中西区,CENTRAL & WESTERN,HK
13/9/2021,Mid-Levels,Cherry Crest,18.5,3#/F Room A,3,,A,1106,中西區,中西区,CENTRAL & WESTERN,HK
13/9/2021,Shaukeiwan,Le Riviera,7.95,1#/F Room A,1,,A,431,東區,东区,EASTERN,HK
13/9/2021,Sai Wan Ho,Les Saisons,22.8,TOWER 2 4#/F Room D,4,TOWER 2,D,1118,東區,东区,EASTERN,HK
13/9/2021,Pok Fu Lam,Chi Fu Fa Yuen,7.39,BLOCK H-5 1#/F Room E,1,BLOCK H-5,E,518,南區,南区,SOUTHERN,HK
13/9/2021,Shaukeiwan,Felicity Garden,10,BLOCK 1 4/F Room E,4,BLOCK 1,E,867,東區,东区,EASTERN,HK
13/9/2021,North Point,Tanner Garden,13.38,BLOCK 4 1#/F Room C,1,BLOCK 4,C,893,東區,东区,EASTERN,HK
13/9/2021,Aberdeen,Aberdeen Centre,7.15,BLOCK A 2#/F Room 2,2,BLOCK A,2,529,南區,南区,SOUTHERN,HK
