VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.44081488,0.24251468,0.48724803,0.2900317,0.54849935
0.66091573,0.5150969,0.6563393,0.5497184,0.58869624
0.27280113,0.39278886,0.29775193,0.330729,0.26732183
0.68861014,0.31317592,0.69208044,0.35892907,0.59520936
0.5900201,0.8215873,0.5204114,0.700557,0.23563185
0.15310761,0.38949984,0.13160744,0.373376,0.5683279
0.44904274,0.483414,0.2624929,0.551053,0.84182525
0.5813059,0.56478435,0.5768687,0.46355006,0.3718853
0.7386652,0.8882589,0.535985,0.8183689,0.7933732
0.6774147,0.7364445,0.75526655,0.69147885,0.25311524
0.29291874,0.5869491,0.18086162,0.5264483,0.31660837
0.45205507,0.66871,0.41993585,0.6303422,0.3805088
0.48508266,0.46617723,0.5352018,0.58283484,0.7891568
0.6116839,0.54852396,0.5672594,0.51575,0.43531016
0.23912728,0.8872739,0.031904966,0.61048394,0.53675246
0.42324454,0.6233038,0.37584883,0.57012045,0.30873653
0.5600098,0.47966316,0.6011734,0.57083696,0.7905983
0.70764476,0.43199843,0.6722955,0.46366212,0.4221453
0.42972744,0.48178717,0.30490735,0.5423171,0.900408
0.5010463,0.54865384,0.4389171,0.48012248,0.012983263
0.9781929,0.31322205,0.87409496,0.32193738,0.61430216
0.44137192,0.76432925,0.50438935,0.73788697,0.35619628
0.28302342,0.5740168,0.2276484,0.528787,0.36151758
0.5515942,0.609522,0.5529796,0.55775076,0.29289603
0.5603374,0.6097989,0.5537114,0.53693175,0.2552848
0.624855,0.59076005,0.56948054,0.6044996,0.40245384
0.11503872,0.6618094,0.21530467,0.576346,0.1779002
0.6417221,0.9433197,0.55641234,0.85040843,0.16538343
0.48340645,0.14245147,0.49676332,0.20436081,0.60794914
0.24990582,0.3906968,0.28341904,0.40370774,0.33309114
0.87922245,0.27212876,0.88200366,0.32956886,0.3553263
0.69343424,0.76930904,0.73087925,0.72219044,0.41058534
0.50558347,0.23201102,0.55987287,0.2527663,0.79575866
0.3262822,0.6506214,0.30203283,0.632719,0.43521845
0.8358699,0.4063506,0.8075762,0.47760707,0.4508931
0.37865528,0.6271172,0.37913433,0.6242595,0.43426836
0.6060518,0.5119243,0.5316164,0.52229875,0.50300217
0.84166723,0.24412683,0.83678246,0.3107161,0.47661182
0.39911178,0.39939412,0.29179853,0.48280513,0.662452
0.71774447,0.38719687,0.658808,0.35175222,0.42118257
0.7788039,0.3296879,0.7595654,0.3360349,0.37644404
0.622803,0.3215602,0.48312485,0.39958668,0.0
0.790865,0.76999414,0.79711366,0.7782259,0.36937267
0.7671218,0.5572398,0.7921993,0.6862815,0.75752956
0.44863695,0.7035666,0.4366451,0.6627951,0.19779941
0.64844215,0.84252965,0.6096534,0.73937845,0.17583793
0.49174443,0.9555161,0.48811153,0.9361431,0.31869197
0.40739706,0.43611565,0.33153105,0.47224244,0.81446576
0.81209517,0.38474306,0.81182015,0.42710456,0.5180417
0.5464033,0.90505207,0.51493984,0.8115113,0.24150309
0.8554982,0.50647914,0.81772697,0.46023965,0.34767658
0.8360946,0.72343934,0.5140878,0.5304721,0.040534317
0.43445748,0.47777715,0.28086787,0.52498007,0.8959064
0.8048224,0.36031756,0.7912907,0.4562033,0.42310575
0.4521563,0.36165667,0.39047807,0.38467732,0.73947275
0.6449486,0.4857394,0.6366176,0.49347636,0.61489487
0.24433073,0.77661586,0.14100814,0.7760998,0.45682395
0.4514267,0.4096102,0.4442308,0.5351252,0.9865341
0.34135497,0.26668245,0.39029104,0.23631155,0.44480893
0.48672026,0.9421554,0.48338142,0.9143679,0.26559916
0.39746308,0.6586517,0.3575192,0.6394968,0.32879275
0.43135536,0.8129887,0.51770127,0.8787762,0.52465427
0.3387125,0.8223196,0.41381645,0.7956328,0.39112735
0.20741206,0.56282717,0.2468294,0.53937554,0.6489112
0.47919333,0.24442597,0.49540988,0.13124734,0.51712656
0.35419738,0.18351996,0.3365246,0.19738325,0.5921864
0.16056618,0.68175566,0.24282804,0.6161225,0.72859156
0.4641197,0.78855085,0.54709595,0.7197189,0.630184
0.18560305,0.7260174,0.12757403,0.660522,0.56913924
0.2998083,0.28693378,0.35766417,0.25798124,0.2219936
1.463294e-05,0.36667794,0.022146523,0.43451375,0.3616941
0.2110323,0.45759907,0.16815972,0.36953813,0.3158524
0.6136021,0.37832865,0.54626113,0.40311313,0.49718827
0.27794558,0.45524955,0.3366564,0.44484943,0.23885548
0.59569085,0.13260031,0.60452807,0.20376202,0.23858705
0.92034686,0.57680434,0.898445,0.6524263,0.42982766
0.45929185,0.64892066,0.23817274,0.6383729,0.2945997
0.77442837,0.7352812,0.67079425,0.6488473,0.2402218
0.55438143,0.745389,0.58805984,0.76904625,0.44609597
0.5133671,0.9761566,0.5543443,0.9426838,0.36211896
0.5204813,0.6667277,0.5347438,0.6377523,0.43728027
0.51065564,0.51885253,0.45907614,0.37290204,0.18805096
0.7218429,0.7723559,0.70066833,0.7716831,0.50284916
0.5978793,0.48132855,0.5555489,0.5458799,0.6124842
0.67128474,0.6924349,0.7049658,0.82568336,0.5934211
0.63825023,0.45492876,0.5920623,0.45988902,0.53594536
0.8478808,0.26191396,0.78150696,0.31819874,0.5655889
0.51988924,0.5316192,0.49768543,0.39882076,0.21739629
0.55108106,0.68860316,0.6097646,0.6844932,0.46111366
0.7877237,0.4703546,0.8312512,0.62007457,0.6705313
0.6281893,0.31302503,0.6033283,0.4057329,0.81320155
0.3974229,0.6677082,0.3745496,0.66560304,0.3436383
0.3919834,0.25742322,0.42122942,0.2841068,0.16921538
0.19117445,0.497719,0.19552961,0.48105988,0.46620753
0.54657805,0.083352745,0.5276359,0.1638144,0.70675683
0.79872024,0.43145663,0.79514503,0.39977005,0.28905952
0.23622626,0.7562703,0.16987741,0.7557728,0.5219763
0.3032753,0.532158,0.31519595,0.46879455,0.5354247
0.6083602,0.96031666,0.6661849,0.8869322,0.34019828
0.31779197,0.58338314,0.19782159,0.6327116,0.36099815
0.4603334,0.2841105,0.48801148,0.39488584,0.49102128
0.6033857,0.7412981,0.44608942,0.6068768,0.19457915
0.5421302,0.8945908,0.49151522,0.7916477,0.2504059
0.6038683,0.4331659,0.5243896,0.4561247,0.6467206
0.77129394,0.45809254,0.80820054,0.5736067,0.6428536
0.68318075,0.8232708,0.66505903,0.80696476,0.35863173
0.41723323,0.65976346,0.39869252,0.63626045,0.3113945
0.58515954,0.3701585,0.58412933,0.3996786,0.635221
0.39756027,0.22960728,0.42590892,0.31788763,0.78529775
0.5299743,0.258004,0.53977907,0.27852887,0.28643268
0.75178194,0.12756968,0.67127407,0.14631495,0.44502366
0.7823477,0.50320584,0.7342553,0.5912023,0.599052
0.25586742,0.5794353,0.20339903,0.58587885,0.522144
0.4882585,0.8850503,0.42937815,0.8976338,0.3851018
0.23569793,0.7563698,0.15999481,0.7377351,0.5154791
0.49948445,0.4639897,0.5426097,0.54802006,0.8582581
0.120238334,0.4402843,0.128045,0.4280172,0.42594153
0.24132717,0.55644715,0.23148832,0.58474493,0.39209276
0.12492457,0.4310174,0.15327945,0.41077626,0.45399174
0.5305112,0.4110231,0.51938665,0.5118988,0.75176847
0.63614035,0.8351197,0.5798839,0.7529603,0.21938822
0.45625746,0.79238397,0.51536244,0.7299471,0.6564828
0.5196843,0.20828769,0.54058886,0.25149304,0.4659931
0.28325653,0.2511134,0.35281968,0.21042705,0.40806854
0.35095793,0.78018343,0.37122995,0.76205516,0.50269127
0.4692302,0.60791653,0.45765343,0.5463404,0.34946007
0.6491519,0.23906212,0.63131166,0.35688967,0.73507166
0.9564401,0.36299288,0.9186617,0.46207327,0.59913003
0.5530748,0.9554377,0.5814614,0.85003346,0.38902515
0.7713708,0.33867416,0.73805547,0.36121306,0.37341666
0.3288946,0.89337623,0.3773926,0.95996165,0.36965936
0.4954599,0.45582122,0.5022252,0.5590031,0.84400415
0.013606429,0.41022453,0.002613932,0.4367945,0.6019312
0.78086066,0.5187515,0.6816597,0.5643095,0.57444507
0.7168935,0.6857595,0.66622627,0.7405994,0.5418636
0.5727245,0.6170217,0.53439325,0.5152916,0.18019816
0.58659744,0.5156653,0.5843781,0.5783615,0.69997936
0.66847205,0.87471116,0.6253215,0.7976289,0.15165552
0.41387126,0.84651387,0.39446056,0.8192517,0.47860843
0.82569116,0.136049,0.80651927,0.18366194,0.42463803
