ResNet101_2d1,ResNet101_2d2,ResNet101_3d1,ResNet101_3d2,ResNet101_3d3
0.3174032,0.6069576,0.4424193,0.6110438,0.40448424
0.22048846,0.8129947,0.283091,0.85040885,0.6192878
0.78344333,0.2335372,0.6660895,0.30572933,0.2091746
0.91897416,0.52711225,0.8942529,0.5429883,0.34748712
0.44774938,0.25095817,0.5049992,0.32817066,0.35133362
0.7969141,0.49405718,0.7724227,0.41362852,0.4960717
0.14838684,0.6183219,0.13165966,0.5885384,0.46356693
0.19278648,0.31099027,0.26855615,0.37836263,0.21079254
0.7952758,0.3401875,0.7680025,0.38393092,0.2686368
0.81317925,0.49171314,0.81817394,0.43187845,0.49512345
0.80618286,0.767293,0.7862346,0.83912045,0.4744715
0.2531189,0.39129055,0.31845257,0.47886115,0.08681491
0.47813773,0.9078389,0.38982683,0.8072252,0.31046128
0.53960204,0.7680545,0.6160224,0.59539694,0.77910316
0.7684307,0.7516984,0.72174895,0.67019093,0.7021246
0.8866235,0.60104614,0.8696728,0.5845815,0.43763646
0.342758,0.83391637,0.19884408,0.8247465,0.34109625
0.2803405,0.4538445,0.34983134,0.51465344,0.3557319
0.93726915,0.6015845,0.96092916,0.64544034,0.39852837
0.76323634,0.167626,0.70488274,0.18374881,0.23960973
0.6379614,0.4097424,0.6497496,0.44364506,0.50217307
0.6643238,0.50104207,0.7300742,0.22839981,0.7384478
0.26785952,0.6456381,0.2954564,0.6000011,0.6042463
0.5058145,0.89699286,0.43863696,0.8004962,0.3417852
0.3554024,0.6650945,0.39982173,0.570972,0.6324503
0.45456675,0.74107623,0.5013819,0.6635263,0.38307223
0.6067886,0.8018372,0.5650607,0.6941347,0.26171428
0.6333276,0.87136626,0.6146505,0.79130405,0.41305476
0.5992918,0.77469325,0.5532814,0.64707124,0.20313689
0.5784703,0.9308578,0.539592,0.8645832,0.32384777
0.6293213,0.14063725,0.6002139,0.23551896,0.2873361
0.61170185,0.17968139,0.5919144,0.21280062,0.37792748
0.70824224,0.64493674,0.677773,0.55467594,0.44602078
0.21304566,0.63678634,0.23294026,0.65939105,0.49366966
0.7364657,0.32026893,0.791419,0.22011161,0.48203075
0.37230635,0.61379623,0.3106053,0.4634139,0.7607767
0.5775494,0.4293781,0.5762851,0.42484704,0.53311646
0.27701306,0.55971134,0.3640511,0.53543425,0.48874444
0.898381,0.54052234,0.97591853,0.51708466,0.33999816
0.47539112,0.36658692,0.648713,0.32024533,0.6770213
0.7544422,0.35310638,0.7625526,0.41815567,0.0763461
0.44077876,0.32013446,0.4442173,0.51461995,0.26022658
0.45356154,0.5366245,0.3569247,0.4178664,0.5228479
0.36582297,0.4537421,0.32528263,0.24659571,0.7031665
0.17969477,0.84295094,0.15479594,0.8400861,0.6055156
0.114980936,0.584561,0.113271594,0.4847158,0.5767826
0.24639246,0.8023483,0.38710904,0.70665157,0.42807692
0.16227883,0.7517922,0.18236738,0.73862576,0.48580396
0.66181654,0.9026437,0.5672404,0.87120545,0.488873
0.836105,0.4510372,0.74268264,0.51534635,0.32071298
0.51481384,0.40960276,0.5008102,0.32740834,0.6690471
0.57279545,0.90910184,0.5442149,0.82243794,0.34777826
0.55348426,0.35533714,0.4963676,0.25950506,0.5798331
0.17928231,0.6456735,0.17713079,0.6510278,0.5383283
0.4643373,0.681233,0.5158586,0.646545,0.7704886
0.5395179,0.41674572,0.5561428,0.29335895,0.7110367
0.15955418,0.6769032,0.21517497,0.57876694,0.6388812
0.7992197,0.20100042,0.77597946,0.25450045,0.19697857
0.072634846,0.6537805,0.0047113,0.5505741,0.58957106
0.3916699,0.36512175,0.34900373,0.2993893,0.46887103
0.60406,0.06908354,0.5763388,0.20408997,0.33342314
0.1433376,0.7663158,0.20704937,0.77446765,0.42113703
0.24128431,0.52252173,0.3439176,0.67712367,0.3157352
0.96209407,0.66087246,0.95688534,0.76484174,0.5149814
0.4615273,0.68164396,0.50440115,0.6648712,0.7827164
0.5220148,0.7419334,0.64460063,0.68390703,0.7790921
0.7992559,0.38267958,0.70027375,0.35179248,0.43799567
0.5255194,0.16567409,0.4935128,0.21353573,0.302778
0.80615556,0.6515969,0.77567005,0.6187584,0.5150481
0.46539193,0.54303914,0.38475823,0.4103062,0.5806773
0.144696,0.4909632,0.1581161,0.7311881,0.31819957
0.19899505,0.30876487,0.28954116,0.37906024,0.18691084
