GoogleNet_2d1,GoogleNet_2d2,GoogleNet_3d1,GoogleNet_3d2,GoogleNet_3d3
0.47755146,0.36699206,0.51362395,0.30414367,0.18197003
0.49478194,0.63476276,0.641558,0.41172802,0.58322877
0.53295785,0.3616326,0.4509368,0.32091892,0.35922605
0.31568828,0.2491372,0.58688354,0.6798102,0.16210866
0.8402467,0.59836334,0.9242061,0.45996615,0.48218247
0.14445335,0.56737894,0.5937724,0.89548516,0.4896014
0.4898086,0.3178668,0.38635102,0.5932485,0.2893806
0.7377831,0.7404255,0.41643456,0.5555544,0.82878315
0.5468195,0.3226807,0.41262978,0.84458363,0.1485993
0.68922114,0.2484788,0.18225577,0.74288225,0.3758098
0.5092576,0.6316253,0.84885955,0.8008007,0.5834226
0.73343575,0.8513136,0.3906605,0.41474754,0.89639854
0.40060732,0.5436761,0.7012534,0.7411161,0.67106295
0.80780745,0.48533067,0.36207676,0.1841141,0.28021097
0.82246405,0.34914988,0.23727292,0.253097,0.407481
0.24002478,0.2052382,0.43996412,0.26061803,0.11696342
0.90778494,0.29349226,0.49636632,0.91707224,0.6620759
0.49337777,0.43016672,0.57591826,0.6033028,0.4112543
0.16970232,0.70144653,0.5829254,0.7766759,0.7252761
0.16104898,0.75810003,0.89705116,0.7103104,0.602128
0.86938584,0.45428637,0.30103725,0.5027071,0.8992591
0.72685236,0.92524016,0.5821547,0.46410012,0.570971
0.72160524,0.59794164,0.3207851,0.26606476,0.35430256
0.5636161,0.35381263,0.44519985,0.5386783,0.3583083
0.4247854,0.08089912,0.6070983,0.97326636,0.4645996
0.14245445,0.48661023,0.4129827,0.15361288,0.27367425
0.2670416,0.24423215,0.7590673,0.6839331,0.20009273
0.8025854,0.2719593,0.11875194,0.615602,0.5249131
0.34817135,0.412144,0.38647056,0.44954467,0.32988888
0.29966658,0.27579987,0.5878575,0.62400204,0.16846403
0.61942303,0.4697073,0.5520323,0.8355453,0.79115295
0.171101,0.69801986,0.62257636,0.81823826,0.7384401
0.2958322,0.45383304,0.64621294,0.4597208,0.26215467
0.43967664,0.35128242,0.5055189,0.6285523,0.18486023
0.5880675,0.64837515,0.39771542,0.29072523,0.54389375
0.4892415,0.57184505,0.5457814,0.38106787,0.6229519
0.42613068,0.32463413,0.36737013,0.282254,0.20101869
0.5459466,0.07654849,0.2849908,0.9454125,0.42075747
0.5783125,0.37335065,0.44161725,0.55742025,0.47572732
0.7224171,0.43970132,0.36255044,0.68038714,0.6439309
0.5255203,0.69149923,0.33448958,0.39090133,0.60287553
0.42895877,0.70327187,0.816567,0.3491175,0.62802726
0.43365857,0.22352698,0.44529235,0.76937675,0.15271378
0.5528034,0.6642222,0.6352719,0.2296331,0.66873515
0.29965782,0.41587016,0.14315125,0.74890083,0.29046977
0.45880413,0.2620804,0.5075828,0.5559636,0.21390706
0.35693416,0.26518962,0.45427665,0.5484882,0.23146543
0.24287078,0.29550856,0.6669637,0.5130864,0.13477606
0.64600694,0.56530917,0.41072947,0.50461245,0.76625955
0.9113084,0.5047793,0.20952109,0.13221672,0.47816467
0.31803802,0.8639815,0.9444375,0.6500462,0.47776476
0.5754859,0.45670533,0.3808222,0.67969143,0.5542794
0.6560924,0.65943253,0.46219748,0.75638175,0.6345475
0.2984308,0.77760035,0.57363194,0.071727335,0.45157105
0.71852696,0.787936,0.4909402,0.25183994,0.8391676
0.4667211,0.118098855,0.37777415,0.9465352,0.46866286
0.3048175,0.60654855,0.76766026,0.37624478,0.49928412
0.8011238,0.7144364,0.5224296,0.13795722,0.7816497
0.51724195,0.163941,0.23379937,0.8141288,0.60728306
0.28874627,0.42450738,0.6398076,0.53153414,0.25058943
0.31661606,0.8640977,0.9501798,0.6798313,0.49223107
0.40312922,0.5623334,0.608864,0.37506807,0.45347327
0.5761288,0.58394015,0.54026717,0.32408926,0.46426624
0.56805515,0.83374584,0.3675152,0.54599226,0.57056755
0.54804903,0.6287714,0.32516104,0.34562472,0.72185016
0.7394104,0.55381536,0.63601804,0.34898573,0.66516507
0.42578447,0.24615338,0.6148806,0.89651024,0.26630813
0.56479025,0.6036382,0.6982812,0.2461819,0.79200566
0.81832343,0.6798574,0.49718335,0.16678351,0.6378449
0.57463855,0.6234773,0.46653065,0.5057402,0.74357873
0.40440127,0.39982557,0.5233973,0.38575333,0.12124029
0.57649076,0.15355292,0.3611277,0.57753897,0.28277028
0.36765674,0.42888546,0.76262176,0.47341007,0.2833205
0.11882183,0.7477693,0.72858,0.59905267,0.06442472
0.31394106,0.29400772,0.62207645,0.58529073,0.17054737
0.5481404,0.4414254,0.31405634,0.3376416,0.3868808
0.45982108,0.9377317,0.5954915,0.18158072,0.24372415
0.5959896,0.34184355,0.35106492,0.8199247,0.56038237
0.37926215,0.558287,0.6784408,0.4083989,0.45092154
0.42444235,0.50987846,0.50108725,0.7893646,0.44621927
0.4208669,0.3894576,0.40058225,0.35502988,0.18184632
0.51731074,0.31991094,0.4534771,0.3884339,0.28922072
0.6636897,0.6565166,0.34592825,0.25273526,0.6630218
0.21488252,0.61620945,0.74236083,0.7699641,0.4222548
0.56614405,0.6465138,0.88857174,0.5337056,0.51801044
0.67095643,0.757102,0.20202339,0.30221137,0.6341535
