img,sky,building,vegetation
595,0.214,0.143,0.369
596,0.309,0.045,0.334
597,0,0.664,0
598,0.01375,0.29075,0.46075
599,0.225,0,0.474
600,0.462,0.15,0.071
601,0.248,0.397,0.001
602,0,0.587,0
603,0.184,0.204,0.254
604,0.368,0.15,0.127
605,0.035,0.29,0.221
606,0.28,0.162,0.203
607,0.211,0.326,0.131
608,0.306,0.344,0.008
609,0.183,0.496,0.003
610,0.2445,0.00225,0.2175
611,0.222,0.006,0.493
612,0.314,0.177,0.13
613,0.442,0.006,0.207
614,0,0.342,0.01
615,0.247,0.228,0.173
616,0.23,0.428,0.017
617,0.331,0.244,0.071
618,0.346,0.141,0.141
619,0.316,0.001,0.402
620,0.458,0.011,0.24
621,0.432,0.196,0.016
622,0.516,0.015,0.073
623,0.39,0,0.328
624,0.324,0.149,0.164
625,0.416,0.074,0.188
626,0,0.662,0
627,0.224,0.106,0.325
628,0.346,0.204,0.109
629,0.486,0.006,0.184
630,0.02175,0.00025,0.68375
631,0.473,0.029,0.168
632,0.382,0.315,0.012
633,0.331,0.002,0.344
634,0.517,0.102,0.031
635,0.281,0.347,0.016
636,0.393,0.177,0.03
637,0.315,0.004,0.347
638,0.16975,0.31075,0.02575
639,0.393,0.115,0.134
640,0.553,0.05,0.036
641,0.377,0.055,0.192
642,0.451,0,0.194
643,0.455,0.111,0.034
644,0.28,0.021,0.315
645,0.552,0.004,0.153
646,0.413,0.12,0.07
647,0.366,0.254,0.006
648,0.215,0.134,0.298
649,0.138,0.599,0.021
650,0.444,0.039,0.199
651,0.063,0.355,0
652,0.385,0.303,0.004
653,0.491,0.031,0.13
654,0.194,0.035,0.448
655,0.246,0.179,0.229
656,0.224,0.364,0.065
657,0.177,0.091,0.17275
658,0.347,0.127,0.178
659,0.209,0.475,0
660,0.522,0.046,0.088
661,0.43,0.002,0.211
662,0.226,0.428,0.008
663,0.387,0.132,0.135
664,0.212,0.215,0.239
665,0.154,0.396,0.001
666,0,0.7825,0.00125
667,0.305,0.149,0.161
668,0.525,0.092,0.065
669,0.317,0.301,0.036
670,0.014,0.708,0.015
671,0.402,0.203,0.03
672,0.35,0.18,0.099
673,0,0.492,0
674,0.301,0.003,0.385
675,0.368,0.27,0.001
676,0.468,0.104,0.061
677,0.228,0.393,0.004
678,0.448,0.05,0.11
679,0,0.819,0
680,0.259,0.235,0
681,0.278,0.009,0.32
682,0.116,0.569,0
683,0.343,0.031,0.278
684,0.418,0.152,0.038
685,0.434,0.021,0.058
686,0.455,0,0.202
687,0.001,0.01,0.673
688,0.396,0.182,0.071
689,0.294,0.099,0.249
690,0.001,0.08275,0.51325
691,0.299,0.204,0.063
692,0.449,0.131,0.014
693,0.395,0.007,0.229
694,0.293,0.145,0.182
695,0.371,0.224,0.063
696,0.283,0.351,0.003
697,0.0195,0.43925,0.02975
698,0.376,0.076,0.186
699,0.438,0.033,0.175
700,0.316,0.008,0.362
701,0.2,0,0.502
702,0.08,0.089,0.525
703,0.405,0.19,0.004
704,0.02075,0.08075,0.64425
705,0.552,0.046,0.041
706,0.01,0.36,0.294
707,0.292,0.17,0.18
708,0.386,0.081,0.17
709,0.394,0.09,0.159
710,0.24,0.037,0.397
711,0.337,0.273,0.038
712,0.318,0.297,0.15
713,0.429,0.014,0.186
714,0.421,0.233,0.001
715,0.465,0.135,0.115
716,0.449,0.001,0.185
717,0.289,0.174,0.082
718,0.406,0.015,0.19
719,0.247,0.087,0.3
720,0.37,0,0.422
721,0.263,0.388,0.004
722,0.409,0,0.236
723,0.271,0.025,0.352
724,0.33,0.365,0
725,0.198,0.445,0.018
726,0.143,0.002,0.539
727,0.287,0.258,0.107
728,0.356,0.041,0.214
729,0.459,0.084,0.106
730,0.03425,0.002,0.6665
731,0.175,0.245,0.235
732,0.142,0,0.677
733,0.19,0.047,0.434
734,0.338,0.246,0.091
735,0.529,0,0.13
736,0.171,0.535,0.025
737,0.083,0.175,0.389
738,0.453,0.072,0.102
739,0.337,0.257,0.103
740,0,0.658,0
741,0.061,0.556,0.03
742,0.1915,0.08375,0.2515
743,0.23,0.2605,0.001
744,0.051,0.022,0.569
745,0.231,0.44,0.003
746,0.549,0.056,0.007
747,0.457,0.184,0
748,0.224,0.001,0.599
749,0.48,0.044,0.1885
750,0.02425,0.355,0.126
751,0.43,0.034,0.183
752,0.247,0.34,0.099
753,0.519,0.121,0.026
754,0.15525,0.04725,0.193
755,0.129,0.285,0.259
756,0.012,0.119,0.535
757,0.486,0.136,0.015
758,0.0035,0.5195,0.0005
759,0.245,0.094,0.27
760,0.484,0.024,0.066
761,0.513,0.068,0.071
762,0.078,0.021,0.522
763,0.078,0.021,0.522
764,0.122,0.021,0.547
765,0.362,0.175,0.08
766,0.399,0.128,0.133
767,0.001,0.327,0.001
768,0.486,0.031,0.12
769,0.397,0.112,0.122
770,0.372,0.137,0.139
771,0.39,0.194,0.064
772,0.0175,0.04875,0.442
773,0.387,0.17,0.099
774,0,0.33325,0.52775
775,0.377,0.343,0.001
776,0.365,0.066,0.242
777,0.511,0.131,0.003
778,0.027,0.262,0.19975
779,0.441,0.152,0.05
780,0.473,0.052,0.132
781,0.345,0,0.437
782,0.197,0.43,0.001
783,0.419,0.08,0.161
784,0.363,0.118,0.039
785,0.173,0.568,0
786,0.532,0.092,0.046
787,0.542,0.057,0.018
